	id	name	type
0	0	has component	has-component
1	1	has measured component	has-measured-component
2	2	disposition of	disposition-of
3	3	has causative agent	has-causative-agent
4	4	replaces	replaces
5	5	replaced by	replaced-by
6	6	has active ingredient	has-active-ingredient
7	7	has basis of strength substance	has-basis-of-strength-substance
8	8	has precise active ingredient	has-precise-active-ingredient
9	9	active ingredient of	active-ingredient-of
10	10	has process output	has-process-output
11	11	has modification	has-modification
12	12	has direct substance	has-direct-substance
13	13	is modification of	is-modification-of
14	14	has finding site	has-finding-site
15	15	has direct procedure site	has-direct-procedure-site
16	16	has procedure site	has-procedure-site
17	17	has indirect procedure site	has-indirect-procedure-site
18	18	entire anatomy structure of	entire-anatomy-structure-of
19	19	possibly equivalent to	possibly-equivalent-to
20	20	has specimen source topography	has-specimen-source-topography
21	21	moved from	moved-from
22	22	temporal context of	temporal-context-of
23	23	finding context of	finding-context-of
24	24	subject relationship context of	subject-relationship-context-of
25	25	associated finding of	associated-finding-of
26	26	finding site of	finding-site-of
27	27	definitional manifestation of	definitional-manifestation-of
28	28	has associated finding	has-associated-finding
29	29	associated morphology of	associated-morphology-of
30	30	finding method of	finding-method-of
31	31	pathological process of	pathological-process-of
32	32	is interpreted by	is-interpreted-by
33	33	has definitional manifestation	has-definitional-manifestation
34	34	has occurrence	has-occurrence
35	35	due to	due-to
36	36	has associated morphology	has-associated-morphology
37	37	has direct morphology	has-direct-morphology
38	38	has focus	has-focus
39	39	has indirect morphology	has-indirect-morphology
40	40	interpretation of	interpretation-of
41	41	role played by	role-played-by
42	42	occurs after	occurs-after
43	43	clinical course of	clinical-course-of
44	44	course of	course-of
45	45	occurs before	occurs-before
46	46	causative agent of	causative-agent-of
47	47	procedure site of	procedure-site-of
48	48	intent of	intent-of
49	49	method of	method-of
50	50	has procedure morphology	has-procedure-morphology
51	51	has specimen source morphology	has-specimen-source-morphology
52	52	interprets	interprets
53	53	uses	uses
54	54	dose form of	dose-form-of
55	55	associated with	associated-with
56	56	cause of	cause-of
